Date,Advisory,Patch commit(s),Affected by CHERI kernel,,,,,,,Can unpatch?,Local / Remote,Overflow,DoS,Exec,Disclosure,"Corrupt
Memory",Not memory safety bug,"Arch
Specific",UaF (UMA/kmalloc),"Race or
TOCTTOU",Priv Escalation,Affects network stack,NULL ptr dereference,NOTES,History
2020-08-05,FreeBSD-SA-20:23.sendmsg,1b1428dcc82b54b7a2c332680d2f66945bf9899b,X,X,X,,,,,,local,X,,,,X,,,,X,X,,,"The sendmsg() control message header handling code in compat32 contains a TOCTTOU with respect to the control message header size validation. This allows userspace to modify the control message headers after the kernel has validated the lengths but before the data is copied into kernel space. The space for the data is allocated in an mbuf, but the space is assumed to be enough for the copies. If the user races the kernel check by changing the cmsghdr length after the initial check, it is possible to construct a message header with an arbitrary length to overflow the allocated mbuf buffer and corrupt arbitrary kernel memory. CHERI stops the overflow.",
2020-08-05,FreeBSD-SA-20:21.usb_net,9c847ffd743b4f68af56c5069da401bd1831efcb,X,,X,,,,,,local,X,,X,,X,,,,,,X,,"Missing length checks in USB network device drivers may lead to code execution by writing past a network packet buffer. In the cdceem driver, the pktlen provided by the USB device is not checked agains the mbuf obtained via uether_newbuf() which has a fixed length. The following usbd_copy_out() attempts to copy pktlen bytes into the mbuf, leading to a possibly device-controlled unbounded write into kernel memory. CHERI prevents this because mbuf buffers are bounded. Note that it would also be impossible to inject pointers into the overflowing area because the device can not forge kernel (or user) pointers.",
2020-07-08,FreeBSD-SA-20:20.ipv6,e02582d1ae44dfc7ae009481ce12930ccf662142,,,,,T,,T,,local,,,,,,,,X,X,,X,,Missing locking in handling of IPV6_2292PKTOPTIONS in ip6_ctloutput() allows concurrent operations on inpcb.in6p_outputopts while ip6_pcbopts() could free() some of the options. This leads to kmalloc use-after-free.,
2020-06-09,FreeBSD-SA-20:17.usb,eff815491349029cf24182bfa58613d665b3123e,,,X,,,X,,Easy,local,X,,X,,X,,,,,,,,"USB descriptor level push/pop is not correctly restored. This may allow a physical attacker to gain kernel code execution. It seems that the pushlevel is used as an index into `struct hid_data.cur` array. The pushlevel check is performed AFTER the increment/decrement, this allows malicious HID reports to increase pushlevel past MAXPUSH. A second call to hid_get_item_raw() would then initialize `c` (i.e. the current state pointer) blindly from the current pushlevel, causing it to overflow the `struct hid_data.hid_item_cur`. CHERI stops this with bounds check on the hid_data object. Subobject bounds prevent overflow within the hid_data struct.",
2020-05-12,FreeBSD-SA-20:16.cryptodev,5ac518b51fdc6d1baeb2605d19b04848fc29dcbe,,,X,,,,,,local,X,,,,local,,,,,,,,Incomplete checking of MAC key length in CIOCGSESSION. This results in allocation of cryptoini.cri_key via kernel malloc of possibly undersized key. This will lead to overflow in the cri_key buffer on copyin(). CHERI prevents this as kernel malloc allocations are bounded.,
2020-05-12,FreeBSD-SA-20:15.cryptodev,d2cdaed130a9d63c1fe0a66d9d22a11d806472a4,,,,,T,,T,,local,,,,,X,,,X,X,,,,"CIOCFSESSION and crypto requests use-after-free races in cryptodev. This is due to missing lock and refcount management in csefind and csedelete. This allows a race to free() the session `struct fcrypt` while another thread is also attempting to use it. CHERI temporal safety may help with quarantining memory before reuse, however it does not remove the locking issues.",
2020-05-12,FreeBSD-SA-20:14.sctp,3c193115440ea21d7811c20326488be4346ed4a2,,,,,T,,T,,local,,,,,,,,kmalloc,,,X,,"Insufficient checking allows an user application to trigger an SCTP auth shared key update when the key is marked as deactivated, leading to an use-after-free. This may occur when the refcount for the key is > 1 as the check is bypassed. The old skey can then be free'd before the refcount reaches 0. SCTP keys are allocated via kernel malloc.",
2020-04-21,FreeBSD-SA-20:10.ipfw (oob access),1ae74c1359d2d081e8076f8421e520a9f4ddb863,,,X,,,,,,remote,X,,,,,,,,,,X,,Out-of-bounds mbuf access due to incomplete TCP options parsing in ipfw tcpopts_parse(). The optlen value is not validated and could allow to read past the end of the mbuf. This seems to be limited by the width of the cp[] byte array to 255.,
2020-04-21,FreeBSD-SA-20:10.ipfw (use-after-free),ca0ac0a6c1aa96aaa88fc360aead02043d3dadc2 d4e6a529595dc4ace5be06a3fe9db4e05ebfd4eb f355cb3e6fa1dea72938b83d5b69a99bc4e1fe0c,,,,,T,,T,,remote,,,,,,,,X,,,X,,"In ipfw_chk() PULLUP_LEN_LOCKED performs an m_pullup() on the given mbuf chain. This may invalidate existing pointers, specifically the pointer to the IP header cached in `ip`. This is relevant in the loop that scans through the rule chain and performs matching and processing. O_TCPOPTS and O_TCPMSS use PULLUP_LEN_LOCKED but forget to UPDATE_POINTERS(). This means that the ip pointer may be invalid for the rest of the rules in the chain, for example if O_LOG, O_REJECT, O_UNREACH, O_SETDSCP, O_REASS are found afterwards we may either leak or corrupt free'd memory. CHERI temporal safety may help, this is memory from the mbuf UMA zones.",
2020-03-19,FreeBSD-SA-20:08.jail,1b786d01917ccd90f4b2fffab8e735a25707e63d,,,X,,,X,,Feasible,local,local,,,local,local,,,,,,,,"Missing \0 terminator in user-supplied string via osrelease parameter in kern_jail_set() may lead to reading past the end of a buffer, disclosing arbitrary kernel memory. The osrelstr pointer holding the value from the osrelease parameter is fed to a plain strcpy(), this will cause 2 things to occur: [1] The osrelstr buffer will overflow-read into arbitrary kernel memory. [2] The prison.pr_osrelease buffer may overflow-write depending on where the first zero byte is found from osrelstr. CHERI will stop both occurrences, where (2) is mitigated by subobject bounds preventing an overflow into the prison struct.",
2020-03-19,FreeBSD-SA-20:07.epair,b02fd8b79028c01715e168a25d0fd86ff09b9ce3,X,X,,,,,,Annoying to unplumb but maybe feasible,local,,,X,,X,,,,,,X,,"An user-controlled pointer is passed to if_clone_createif(), leading to memory corruption or kernel code execution. The if_clone_create() is triggered by an ifioctl SIOCIFCREATE2. Such call uses the ifr_data_get_ptr(ifr) using the ioctl input `struct ifreq` data as the param argument to the if_clone_create(), this is user controlled. if_clone_create() forwards params to if_clone_createif(). The latter uses the ifc_create() function of the interface cloner (namely epair_clone_create()). The epair_clone_create() needs to create the two paired ETH interfaces: the first is created normally, the second is created using a recursive call to if_clone_create() with the `struct epair_softc` as the param argument. When the second epair_clone_create() call is serviced, the params argument is assumed to be the epair_softc and used accordingly. The userland can then control the location in memory of the assumed epair_softc. CHERI prevents this to be a kernel pointer.",
2020-03-19,FreeBSD-SA-20:06.if_ixl_ioctl,ab43ce7a22690b66cf76f0d8e70d538442657077,,,,,,,X,,local,,,,,,X,,,,X,,,Insufficient privilege checking for ixl ioctl.,
2020-03-19,FreeBSD-SA-20:05.if_oce_ioctl,c76ddeeb1c32e72a73f5f9ba89dd39dee596a5ac,,,,,,,X,,local,,,,,,X,,,,X,,,Insufficient privilege checking for oce ioctl. ,
2020-03-19,FreeBSD-SA-20:04.tcp,6605e5791f7667abf3e8cd02cbc9b7533f816887,,,,,,,X,,remote,,,,X,,,,,,,X,,uninitialized field in IPv6 header leads to leak of uninitialized UMA mbuf_zone kernel memory via the IPv6 traffic class field. CHERI does not help because this involves inner struct data.,
2020-01-28,FreeBSD-SA-20:03.thrmisc,2e5f9189bb92b6f77ed7ac4608a058e69e2b5bee,,,,,,,X,,local,,,,kstack,,,,,,,,,"elfN_note_thrmisc() fails to properly zero the thrmisc struct before copyout, leaking uninitialized kernel stack bytes. CHERI does not fix this because it involves inner struct padding.",
2020-01-28,FreeBSD-SA-20:02.ipsec,d5f39c34a64b8d2ffc17e218c89e0fb52e624097,,,,,,,X,,remote,,,,,,X,,,,,X,,Ipsec allows to inject old packets successfully.,
2019-11-12,FreeBSD-SA-19:25.mcepsc,c08973d09c95f7459bedf22fe212beb3f5107227,,,,,,,X,,local,,X,,,,X,amd64,,,,,,Intel Machine Check Exception DoS,
2019-08-20,FreeBSD-SA-19:24.mqueuefs,f37192064a44f28d1b1c6dfe311ad8a0d45aed89,,,,,T,,T,,local,,,,,,,,X,,,,,Reference count overflow in compat32 mqueue. An error condition on copyin() fails to release a file descriptor reference count. This can lead to wrapping and use-after-free. CHERI temporal safety should be able to help,
2019-08-20,FreeBSD-SA-19:23.midi,35fd0fc40918d04d5d86573839ff2f36dd780545,,,X,,,,,,local,,,,X,,,,,X,,,,The midistat driver implements a read() handler that is not thread-safe. midistat_read() needs to release the midistat_lock when douing uiomove of sbuf data beacuse the lock is not sleepable. This gives the opportunity for races that modify either the midistat_sbuf or midistat_bufptr (which are global) to potentially access past the sbuf data. CHERI should stop this as sbuf are bounded.,
2019-08-20,FreeBSD-SA-19:22.mbuf,afd959f33292cb63aa784c221e5f62add2b21eed,,X,X,,,,,"Easy, exploitable",remote,X,X,,X,X,,,,,,X,,"Missing check in m_pulldown may result in non-contiguous data. This occurs when the following conditions are met: (1) mbuf is writable (2) pulldown data is split between 3 mbufs (3) the middle mbuf has enough leading space to accomodate hlen data, i.e. all the data that we need to move from the first mbuf. Under these conditions, m_pulldown only moves the data from the first to the middle mbuf but leaves the trailing data split between the middle and last mbufs. This can result in overflow or corruption past the middle mbuf m_data. The actual impact depends on whether we can set up the conditions for this but may affect everything from network stack to IPC sockets. CHERI protects from the overflow as mbuf data buffers are bounded.",
2019-08-06,FreeBSD-SA-19:19.mldv2,7f8c266da570727b937c70054dd07592e29ae762,,,X,,,,,,remote,X,,,X,X,,,,,,X,,"ICMPv6 fails to handle MLDv2 listener query packet that is fragmented across multiple mbufs. The mldv2_query struct is assumed to be within the same mbuf, and is fetched using a plain mtod() instead of properly handling fragmentation with m_pulldown(). CHERI should prevent this as mbuf data is bounded.",
2019-07-24,FreeBSD-SA-19:17.fd,47c3450e50ae3a2a23b74929c3455c424e02809e,,,,,T,,T,Doable but not straightforward,local,,,,,,,,X,,,,,Transmitting rights through a UNIX socket (SCM_RIGHTS) may result in leakage of a file descriptor refcount if some other control message fails to process later (the cleanup fails to release the filedescend and file references). This could lead to file descriptor refcount wrap-around and related vulnerablities of use-after-free.,
2019-07-24,FreeBSD-SA-19:15.mqueuefs,f37192064a44f28d1b1c6dfe311ad8a0d45aed89 051e692a998c47d6c7cef762a32e81ff96a98bd2,,,,,T,,T,,local,,,,,,,,X,,,,,Reference count for the file descriptor can be overflowed because of a missing fdrop in an error handling path in kmq_timedsend() and kmq_timedreceive() (and freebsd32 variants). The file descriptor may then be reallocated. CHERI temporal safety with a quarantine in UMA and kernel malloc should help.,
2019-07-24,FreeBSD-SA-19:14.freebsd32,freebsd32.patch b7edb6fa77fc1ae8a5ff828b14121a5c8330a8a4,,,,,,,X,,local,,,,X,,,,,,,,,Kernel memory disclosure via compat32 ioctl because of missing zeroing of stack-allocated structures. CHERI does not help with this as it involves inner structure uninitialized space. The commit appears to independently fix the issue although the patch is not replicated anywhere in the source tree. I am not convinced that the issue is actually fixed in HEAD as the new implementation appears to leak M_TEMP malloc memory instead of kernel stack as there is no M_ZERO.,
2019-07-24,FreeBSD-SA-19:13.pts,6a01874c5afaac9d1f5f18827a6084c7056c07b6,,,,,T,,T,Feasible,local,,,,,X,,,X,,,,,Write-after-free in pts as funsetown() is not called for some descriptors associated with a tty. We get memory corruption if the descriptor is closed before the owner exits although it is not clear to me how this would occur exactly. This might occur via ptsdev_close() -> tty_rel_gone() -> tty_rel_leave() which originally does not call funsetown(). This probably means that SIGIO can still be delivered if the owner does not exit().,
2019-07-02,FreeBSD-SA-19:11.cd_ioctl,fc795c25d40545d022b5e3d2918ae480aeb765a1,X,X,,,,,,Feasible,local,,,,,X,,,,,X,,,"The linux compat CDIOCREADSUBCHANNEL_SYSSPACE was erroneusly exposed to userland. This allows to bypass a copyout for a bcopy, potentially allowing a write to an arbitrary kernel address. CHERI would have prevented this as the userland is unable to forge kernel pointers.",
2019-07-02,FreeBSD-SA-19:10.ufs,ab2214d40049c75a1516d769ce7730e357f6ea62 0061238fb0365ac840d1e039f2391ed24fcad2d1,,,,,,,X,,local,,,,kstack,,,,,,,,,"Uninitialized padding from kernel stack allocations in ufs_makedirentry() is written to disk, which can then be read from unprivileged users. This happens via the newdirp pointer, which is stack-allocated in the caller. The d_name buffer trailing padding must be zeroed. CHERI does not help because this is inner structure padding.",
2019-06-19,FreeBSD-SA-19:08.rack,5e02b277a4fac9fa5046d81e7cb9a5df54e25895,,,,,,,X,,remote,,X,,,,X,,,,,X,,TCP RACK (Recent-ACK) packet loss detection algorithm can lead to DoS due to CPU usage or memory exhaustion to traverse and maintain linked lists that hold RACK state.,
2019-05-14,FreeBSD-SA-19:07.mds,7355a02bdd81c788f1ff51c4089f5d9435543614,,,,,,,X,,local,,,,,,X,amd64,,,X,,,Fix MDS (microarchitectural data sampling) side channels,
2019-05-14,FreeBSD-SA-19:06.pf,64af73aadea59c22daf168ff742e8e9f03d2da78,,,,,,,X,,remote,,,,,,X,,,,X,,,Missing packet filtering checks allow rule bypass.,
2019-05-14,FreeBSD-SA-19:05.pf,6f4909de5feffdaca01782ad12938f6d95d633ae,,,X,,,,X,,remote,,X,,,X,,,,,,,,"Invalid processing of ipv6 fragment reassembly logic can lead to kernel panic. The ipv6 extension offset used comes from the last received packet instead of the first one. Crafted IPv6 packets may lead to a wrong extoff being stored in the packet PF_REASSEMBLED tag (struct pf_fragment_tag). The second issue is that the next protocol ID is taken from the first fragment header and stored into the `next` field of the last extension header. This however will not be stored at the correct location because extoff is from the wrong packet, instead it will potentially corrupt the current packet content if the number of extension headers in the first and current fragments is different. The packet corruption offset will depend on the different number of extension headers. Note that this will also affect pf_refragment6() as it uses the wrong offset from the mtag, but impact here seems limited. CHERI should stop any potential mbuf overflow however it may still be possible to corrupt packets to bypass filtering or other undefined behaviour.",
2019-02-05,FreeBSD-SA-19:02.fd,401ca034cdb6cc418a461ce70ab28f92d83d51fb,,,,,T,,T,Simple,local,,,,,,,,multiple,,X,,,"Failure to release a file descriptor reference when a file descriptor is passed via a UNIX socket but the receiver does not provide a large enough buffer. This may lead to reference count wrap-around and subsequent free of the file structure. If the file structure is reallocated and reused this may lead to privilege escalation. Note that there are multiple allocators involved: the file structure is allocated via UMA, however other nested objects such as credentials come from kernel malloc and may be subject to reuse from other subsystems leading to a user-controllable buffer.",
2019-02-05,FreeBSD-SA-19:01.syscall,762138f78f0661ae77b7913a28b69d01f7c69b2a,,,,,,,X,,local,,,,,,X,amd64,,,X,,,Leak of kernel register via syscall instruction because callee-save registers are not handled correctly,
2018-09-12,FreeBSD-SA-18:12.elf,c9e562b188682eb9be39a8124893aa172b57d3ca,,,,,,,?,,local,,X,,X,,,,,,,,,"Missing ELF validation results of execution of potentially malicious ELF. The issue is caused by a malformed PT_INTERP entry, with the p_filesz < 2 and a malformed p_offset. Note that p_offset is unsigned in the ELF but gets cast to a signed integer in vn_rdwr. The code path that does not perform vn_rdrw should possibly crash the kernel if p_filesz is manipulated so that the path string crossing into the next page is not detected, this will likely a segfault. The kernel memory disclosure is unclear to me, as the limitation of < 2. CHERI may help with the disclousure but this is unknown, so leave it for now.",
2018-08-14,FreeBSD-SA-18:10.ip,2ceeacbe711f3719cf7b95296627fa766956503e,,,,,,,X,,remote,,X,,,,X,,,,,X,,Resource exhaustion during IP reassembly. This can lead to CPU overload or mbuf cluster exhaustion.,
2018-08-14,FreeBSD-SA-18:09.l1tf,9840c7373c0d02ff9b490bb597a081fca5fcc750,,,,,,,X,,local,,X,,,,X,amd64,,,,,,amd64 L1 Terminal Fault side channel mitigation,
2018-08-06,FreeBSD-SA-18:08.tcp,95a914f6316874f5b0c45d491f2843dc810071ef,,,,,,,X,,remote,,X,,,,X,,,,,X,,TCP reassembly of segments can lead to CPU overload.,
2018-06-21,FreeBSD-SA-18:07.lazyfpu,fc3e80c322e7b6ee8bb7abdb8c4be23a062c1ccc,,,,,,,X,,local,,,,,,X,i386/amd64,,,,,,Speculative side channel via FPU state.,
2018-05-08,FreeBSD-SA-18:06.debugreg,053641bb1cef4431983c2ce81e605520fa0380e2,,,,,,,X,,local,,,,X,,X,amd64,,,X,,,"Invalid handling of mov/pop ss instructions when a debug exception occurs, leading to handling the exception within the kernel context.",
2018-04-04,FreeBSD-SA-18:05.ipsec (pointer/offset mistakes),b12a7532e390d7d3542b3b6d758f5c4d226c9fd2,,,,,,,X,,remote,,X,,,,X,,,,,X,,Invalid offsetting within the mbuf data.,
2018-04-04,FreeBSD-SA-18:05.ipsec (triggerable buffer overflow),055679e67e139c132e2928466f84c2e085bf1f16,,,X,,,,,,remote,X,,,,X,,,,,,X,,"Write extra zeros past the end of an mbuf when processing ipv6 packets. This happens because the loop that processes ipv6 headers fails to correctly increment the buffer offset. The increment does not add the size of the option header (2 bytes), which in theory means that option headers can be manipulated to cause a malformed count and cause a bzero past the mbuf m_data end. CHERI should stop this as mbuf data is bounded.",
2018-04-04,FreeBSD-SA-18:05.ipsec (infinite loop),055679e67e139c132e2928466f84c2e085bf1f16,,,,,,,X,,remote,,X,,,,X,,,,,X,,Incorrect handling when loop length is zero leads to infinite loop.,
2018-04-04,FreeBSD-SA-18:04.vt,9f6fffc7312725f767237797fffa596826fa36d9,,,X,,,,,,local,X,,,X,,,,,,,,,"VT console disclosure due to integer overflow in glyphsize when processing font data in vtfont_load(). Arbitrary kernel memory is used as glyph data leading to a leak. This occurs when the glyphcount manages to overflow size_t, so that the glyph buffer is actually shorter than requested, leading to kmalloc overflow and disclosure. CHERI should prevent this.",
